measure_date,form_id,water_usage,fertilizer_usage,heating_energy_usage,CO2_usage,mist_usage_time,yield
2022-10-01,id1,1221.0103,1677.3763,0.0,0.0,-11.2582,36.82
2022-10-02,id1,91.5758,133.0078,0.0,0.0,-0.0,36.82
2022-10-03,id1,447.7038,670.581,0.0,0.0,-0.0,36.82
2022-10-01,id2,1221.0103,1740.1855,0.0,0.0,-13.074,89.295
2022-10-02,id2,244.2021,317.7409,0.0,0.0,-0.0,89.295
2022-10-03,id2,661.3806,0.0,0.0,0.0,-0.0,89.295
2022-10-01,id3,1282.0608,1982.6477,0.0,0.0,-12.8319,62.906
2022-10-02,id3,81.4007,144.0918,0.0,0.0,-0.0,62.906
2022-10-03,id3,457.8789,852.0813,0.0,124.3018,-0.0,62.906
2022-10-01,id4,1139.6096,1736.4908,0.0,0.0,-12.5898,104.692
2022-10-02,id4,81.4007,133.0078,0.0,0.0,-0.0,104.692
2022-10-03,id4,407.0034,720.459,0.0,0.0,-0.0,104.692
